"region","sexo","edad","educ","ingreso","univ","genero"
7,2,60,2,100000,0,"Mujer"
12,2,33,11,1643750,1,"Mujer"
10,2,12,1,NA,NA,"Mujer"
13,2,38,5,603333,0,"Mujer"
6,2,10,1,NA,NA,"Mujer"
13,2,28,7,NA,0,"Mujer"
1,2,50,4,NA,0,"Mujer"
13,2,34,6,429144,0,"Mujer"
2,2,20,9,NA,NA,"Mujer"
8,2,54,6,310000,0,"Mujer"
5,1,19,6,NA,NA,"Hombre"
6,2,28,6,NA,0,"Mujer"
13,1,36,11,5980000,1,"Hombre"
8,2,75,9,550000,0,"Mujer"
13,1,25,5,300000,NA,"Hombre"
7,2,64,2,120000,0,"Mujer"
2,2,21,6,NA,NA,"Mujer"
5,2,7,1,NA,NA,"Mujer"
9,2,20,3,230000,NA,"Mujer"
15,2,41,5,200000,0,"Mujer"
13,1,54,11,16667,1,"Hombre"
6,2,50,2,25000,0,"Mujer"
7,1,59,2,305833,0,"Hombre"
1,2,22,6,240000,NA,"Mujer"
1,1,23,9,NA,NA,"Hombre"
13,2,27,7,NA,NA,"Mujer"
5,1,21,9,NA,NA,"Hombre"
7,1,7,1,NA,NA,"Hombre"
7,1,37,8,1000000,0,"Hombre"
14,2,76,1,8333,0,"Mujer"
13,1,9,1,NA,NA,"Hombre"
13,2,36,11,1000000,1,"Mujer"
15,2,65,1,NA,0,"Mujer"
13,2,62,11,955082,1,"Mujer"
4,2,7,1,NA,NA,"Mujer"
3,2,54,3,216667,0,"Mujer"
5,1,0,0,NA,NA,"Hombre"
13,1,39,9,802500,0,"Hombre"
6,1,54,5,300000,0,"Hombre"
11,1,2,0,NA,NA,"Hombre"
6,1,58,2,610000,0,"Hombre"
14,2,16,2,NA,NA,"Mujer"
6,2,48,2,NA,0,"Mujer"
8,1,2,0,NA,NA,"Hombre"
15,1,40,11,1002917,1,"Hombre"
8,1,42,6,388333,0,"Hombre"
8,2,67,5,250000,0,"Mujer"
6,1,67,5,125000,0,"Hombre"
4,1,41,5,480000,0,"Hombre"
13,2,11,1,NA,NA,"Mujer"
14,2,13,2,NA,NA,"Mujer"
13,2,3,0,NA,NA,"Mujer"
13,1,2,0,NA,NA,"Hombre"
4,1,68,4,NA,0,"Hombre"
13,2,20,4,NA,NA,"Mujer"
16,1,62,1,287520,0,"Hombre"
1,2,3,0,NA,NA,"Mujer"
15,2,16,2,NA,NA,"Mujer"
8,1,1,0,NA,NA,"Hombre"
9,1,4,0,NA,NA,"Hombre"
6,2,45,4,400000,0,"Mujer"
12,2,46,4,120000,0,"Mujer"
4,2,84,2,NA,0,"Mujer"
2,1,1,0,NA,NA,"Hombre"
13,1,37,9,684167,0,"Hombre"
1,1,28,9,402500,0,"Hombre"
6,2,49,5,270000,0,"Mujer"
11,1,8,1,NA,NA,"Hombre"
13,2,40,5,380000,0,"Mujer"
13,2,20,8,400000,NA,"Mujer"
15,2,8,1,NA,NA,"Mujer"
5,1,30,8,1272000,0,"Hombre"
15,2,84,3,NA,0,"Mujer"
5,2,59,5,300000,0,"Mujer"
12,2,19,0,NA,NA,"Mujer"
13,2,89,5,200000,0,"Mujer"
13,2,5,0,NA,NA,"Mujer"
13,2,71,2,147000,0,"Mujer"
4,2,34,5,NA,0,"Mujer"
13,2,25,9,808333,NA,"Mujer"
1,1,25,5,420000,NA,"Hombre"
8,1,61,0,292500,0,"Hombre"
4,2,50,0,244000,0,"Mujer"
5,2,43,1,NA,0,"Mujer"
8,1,70,5,1425000,0,"Hombre"
10,1,37,11,450000,1,"Hombre"
16,2,47,2,270000,0,"Mujer"
5,2,29,1,304167,0,"Mujer"
12,2,15,4,NA,NA,"Mujer"
8,2,11,1,NA,NA,"Mujer"
13,1,42,99,NA,NA,"Hombre"
5,2,22,8,300000,NA,"Mujer"
13,2,30,1,NA,0,"Mujer"
16,1,23,9,340000,NA,"Hombre"
13,1,12,1,NA,NA,"Hombre"
8,2,33,10,1200000,0,"Mujer"
6,1,49,5,480000,0,"Hombre"
4,2,2,0,NA,NA,"Mujer"
16,2,14,3,NA,NA,"Mujer"
13,1,67,3,200000,0,"Hombre"
13,2,57,2,NA,0,"Mujer"
4,2,63,11,275000,1,"Mujer"
5,1,27,9,454167,NA,"Hombre"
2,2,56,6,350000,0,"Mujer"
5,1,21,7,NA,NA,"Hombre"
13,1,52,5,606667,0,"Hombre"
14,2,26,6,NA,NA,"Mujer"
7,2,1,0,NA,NA,"Mujer"
9,1,53,2,321667,0,"Hombre"
16,1,47,1,100000,0,"Hombre"
5,1,54,5,460000,0,"Hombre"
1,1,49,5,403333,0,"Hombre"
13,1,14,2,NA,NA,"Hombre"
4,2,3,0,NA,NA,"Mujer"
9,1,62,11,2529167,1,"Hombre"
6,1,23,6,260000,NA,"Hombre"
11,2,40,8,406667,0,"Mujer"
13,2,30,11,452917,1,"Mujer"
13,2,7,1,NA,NA,"Mujer"
16,1,88,2,833,0,"Hombre"
5,1,23,6,348764,NA,"Hombre"
5,1,2,0,NA,NA,"Hombre"
13,1,64,1,480000,0,"Hombre"
13,1,21,7,NA,NA,"Hombre"
6,1,33,3,440000,0,"Hombre"
8,1,22,5,NA,NA,"Hombre"
5,2,77,2,132000,0,"Mujer"
7,1,37,9,320000,0,"Hombre"
9,2,76,1,NA,0,"Mujer"
8,1,54,3,350000,0,"Hombre"
13,2,12,1,NA,NA,"Mujer"
7,1,21,7,60000,NA,"Hombre"
11,2,66,1,NA,0,"Mujer"
5,2,3,0,NA,NA,"Mujer"
15,2,43,5,415000,0,"Mujer"
10,1,60,2,271667,0,"Hombre"
14,1,77,2,130000,0,"Hombre"
13,2,33,7,504167,0,"Mujer"
7,2,52,5,NA,0,"Mujer"
13,1,62,8,888333,0,"Hombre"
4,1,8,1,NA,NA,"Hombre"
13,1,56,3,500000,0,"Hombre"
8,1,63,3,110000,0,"Hombre"
6,1,52,2,556667,0,"Hombre"
5,1,5,0,NA,NA,"Hombre"
14,1,51,2,541667,0,"Hombre"
13,1,63,6,503333,0,"Hombre"
15,2,29,11,300000,1,"Mujer"
5,2,52,5,NA,0,"Mujer"
3,2,63,1,60000,0,"Mujer"
7,2,52,3,NA,0,"Mujer"
7,1,11,1,NA,NA,"Hombre"
15,2,27,6,NA,NA,"Mujer"
8,2,47,8,400000,0,"Mujer"
2,2,32,1,NA,0,"Mujer"
8,1,6,0,80000,NA,"Hombre"
14,2,82,3,417,0,"Mujer"
12,2,41,2,319667,0,"Mujer"
7,2,7,1,NA,NA,"Mujer"
5,1,30,1,342500,0,"Hombre"
13,1,65,11,2316667,1,"Hombre"
9,1,50,6,73333,0,"Hombre"
11,2,33,10,1033833,0,"Mujer"
13,2,20,9,NA,NA,"Mujer"
13,1,5,0,NA,NA,"Hombre"
1,1,11,1,NA,NA,"Hombre"
8,2,32,8,420000,0,"Mujer"
13,1,18,2,NA,NA,"Hombre"
13,2,52,5,363667,0,"Mujer"
9,1,36,5,480000,0,"Hombre"
13,2,2,0,NA,NA,"Mujer"
13,1,14,1,NA,NA,"Hombre"
5,2,93,12,450000,1,"Mujer"
13,1,46,6,937833,0,"Hombre"
4,1,32,2,300000,0,"Hombre"
6,1,16,3,80000,NA,"Hombre"
3,2,58,1,NA,0,"Mujer"
15,2,94,3,220000,0,"Mujer"
9,2,62,5,NA,0,"Mujer"
1,1,20,9,NA,NA,"Hombre"
8,2,7,1,NA,NA,"Mujer"
9,1,34,12,2315000,1,"Hombre"
12,1,65,1,378333,0,"Hombre"
8,2,57,1,50000,0,"Mujer"
6,2,68,5,100000,0,"Mujer"
8,1,63,3,400000,0,"Hombre"
5,1,3,0,50000,NA,"Hombre"
16,1,2,0,NA,NA,"Hombre"
13,1,33,5,NA,0,"Hombre"
6,2,57,11,1365833,1,"Mujer"
7,1,58,2,272500,0,"Hombre"
13,1,33,4,360000,0,"Hombre"
16,2,40,6,180000,0,"Mujer"
3,2,34,3,300000,0,"Mujer"
13,2,24,3,NA,NA,"Mujer"
7,2,24,3,270000,NA,"Mujer"
6,2,24,3,NA,NA,"Mujer"
15,1,50,4,150000,0,"Hombre"
15,1,68,1,230000,0,"Hombre"
4,1,23,5,994667,NA,"Hombre"
5,2,59,1,NA,0,"Mujer"
8,2,36,5,140000,0,"Mujer"
1,2,65,1,80000,0,"Mujer"
10,2,68,3,207667,0,"Mujer"
7,1,46,11,800000,1,"Hombre"
1,2,33,9,780000,0,"Mujer"
10,1,50,2,558333,0,"Hombre"
1,1,3,0,NA,NA,"Hombre"
13,1,71,5,1006667,0,"Hombre"
1,1,65,3,190000,0,"Hombre"
1,2,32,3,390500,0,"Mujer"
12,2,82,3,240000,0,"Mujer"
14,1,38,6,330667,0,"Hombre"
9,1,59,3,1206667,0,"Hombre"
10,2,41,3,NA,0,"Mujer"
13,1,37,11,2572500,1,"Hombre"
10,1,37,6,700000,0,"Hombre"
4,1,72,5,310000,0,"Hombre"
3,1,9,1,NA,NA,"Hombre"
7,2,52,1,NA,0,"Mujer"
5,2,77,1,180000,0,"Mujer"
13,2,45,11,402083,1,"Mujer"
5,2,10,1,NA,NA,"Mujer"
6,1,30,9,1235858,0,"Hombre"
13,1,55,3,30000,0,"Hombre"
13,2,3,0,NA,NA,"Mujer"
7,2,41,1,NA,0,"Mujer"
13,1,30,5,316000,0,"Hombre"
6,1,15,2,50000,NA,"Hombre"
10,1,41,8,700000,0,"Hombre"
9,1,17,4,NA,NA,"Hombre"
9,2,79,1,182000,0,"Mujer"
13,1,16,3,NA,NA,"Hombre"
4,2,26,4,100000,NA,"Mujer"
7,1,33,3,320417,0,"Hombre"
2,2,18,99,NA,NA,"Mujer"
5,2,11,1,NA,NA,"Mujer"
3,2,25,9,NA,NA,"Mujer"
2,2,86,6,400000,0,"Mujer"
3,1,14,1,NA,NA,"Hombre"
1,1,10,1,NA,NA,"Hombre"
11,1,45,5,574317,0,"Hombre"
1,2,78,3,365000,0,"Mujer"
9,2,50,1,275833,0,"Mujer"
8,1,68,1,55833,0,"Hombre"
1,1,41,3,600000,0,"Hombre"
2,1,31,6,467672,0,"Hombre"
11,1,32,7,1372000,0,"Hombre"
6,2,59,4,150000,0,"Mujer"
10,2,61,2,NA,0,"Mujer"
5,1,47,7,360417,0,"Hombre"
13,1,27,11,NA,1,"Hombre"
8,1,33,5,390000,0,"Hombre"
16,2,36,5,250000,0,"Mujer"
3,1,55,4,450000,0,"Hombre"
13,1,14,4,NA,NA,"Hombre"
8,2,38,11,706250,1,"Mujer"
5,1,23,2,275000,NA,"Hombre"
13,1,12,1,NA,NA,"Hombre"
7,2,9,1,NA,NA,"Mujer"
13,1,20,9,NA,NA,"Hombre"
6,2,58,3,NA,0,"Mujer"
12,2,18,5,NA,NA,"Mujer"
6,2,67,2,NA,0,"Mujer"
1,1,7,1,NA,NA,"Hombre"
14,1,82,2,630000,0,"Hombre"
13,2,14,2,NA,NA,"Mujer"
9,1,58,11,1008333,1,"Hombre"
4,1,86,3,145000,0,"Hombre"
13,1,30,11,500000,1,"Hombre"
9,1,44,3,300000,0,"Hombre"
13,1,38,3,NA,0,"Hombre"
6,1,40,5,250000,0,"Hombre"
14,2,75,1,NA,0,"Mujer"
6,2,42,11,1002333,1,"Mujer"
1,1,17,4,NA,NA,"Hombre"
8,1,51,2,375000,0,"Hombre"
5,2,20,7,NA,NA,"Mujer"
5,1,3,0,NA,NA,"Hombre"
10,1,37,5,850000,0,"Hombre"
7,2,9,1,NA,NA,"Mujer"
13,2,7,1,NA,NA,"Mujer"
9,2,21,3,80000,NA,"Mujer"
3,2,58,12,600000,1,"Mujer"
11,1,68,8,992617,0,"Hombre"
4,1,54,4,333333,0,"Hombre"
13,1,50,9,120000,0,"Hombre"
13,2,45,8,NA,0,"Mujer"
8,1,84,1,NA,0,"Hombre"
5,2,22,5,NA,NA,"Mujer"
15,1,35,9,NA,0,"Hombre"
5,1,36,5,300000,0,"Hombre"
9,1,54,5,600000,0,"Hombre"
15,1,26,11,1000000,1,"Hombre"
13,1,25,8,500000,NA,"Hombre"
13,2,4,0,NA,NA,"Mujer"
12,2,7,1,NA,NA,"Mujer"
6,2,36,8,405000,0,"Mujer"
13,1,32,5,300000,0,"Hombre"
7,1,64,2,370000,0,"Hombre"
16,2,42,5,245000,0,"Mujer"
4,1,70,1,NA,0,"Hombre"
15,2,95,1,220000,0,"Mujer"
9,1,4,0,NA,NA,"Hombre"
9,1,4,0,NA,NA,"Hombre"
6,1,59,1,270000,0,"Hombre"
13,1,72,1,1115000,0,"Hombre"
13,2,61,5,210000,0,"Mujer"
5,1,72,9,250000,0,"Hombre"
13,2,25,9,236867,NA,"Mujer"
5,2,69,3,NA,0,"Mujer"
5,1,37,8,641667,0,"Hombre"
2,2,39,99,344129,NA,"Mujer"
4,1,19,9,NA,NA,"Hombre"
7,1,28,7,600000,0,"Hombre"
8,2,18,5,NA,NA,"Mujer"
4,1,34,2,500000,0,"Hombre"
6,1,16,3,NA,NA,"Hombre"
13,1,40,5,270000,0,"Hombre"
6,2,45,11,200000,1,"Mujer"
13,2,33,7,50000,0,"Mujer"
5,2,57,2,320917,0,"Mujer"
13,2,49,5,3000000,0,"Mujer"
13,1,21,3,350000,NA,"Hombre"
15,2,4,0,NA,NA,"Mujer"
6,1,15,3,NA,NA,"Hombre"
5,1,57,2,871667,0,"Hombre"
7,2,89,0,NA,0,"Mujer"
9,1,44,6,600000,0,"Hombre"
13,1,29,5,380000,0,"Hombre"
5,1,14,3,150000,NA,"Hombre"
13,2,71,1,150000,0,"Mujer"
16,1,52,5,211667,0,"Hombre"
5,2,9,1,NA,NA,"Mujer"
5,1,2,0,NA,NA,"Hombre"
3,1,48,6,410000,0,"Hombre"
6,2,1,0,NA,NA,"Mujer"
6,2,2,0,NA,NA,"Mujer"
8,2,30,6,455833,0,"Mujer"
6,2,53,3,270000,0,"Mujer"
8,1,56,5,608333,0,"Hombre"
16,2,1,0,NA,NA,"Mujer"
4,1,29,9,NA,0,"Hombre"
8,1,57,5,270000,0,"Hombre"
7,1,3,0,NA,NA,"Hombre"
8,2,60,5,NA,0,"Mujer"
15,1,20,4,270000,NA,"Hombre"
11,1,35,8,500000,0,"Hombre"
7,2,90,1,NA,0,"Mujer"
7,2,50,6,220000,0,"Mujer"
15,2,62,6,75000,0,"Mujer"
6,2,82,1,95000,0,"Mujer"
8,2,26,9,NA,NA,"Mujer"
9,1,88,1,366667,0,"Hombre"
16,1,42,2,140000,0,"Hombre"
13,1,34,5,450000,0,"Hombre"
8,1,32,5,475000,0,"Hombre"
13,1,59,3,507500,0,"Hombre"
9,2,11,1,NA,NA,"Mujer"
5,1,26,9,175000,NA,"Hombre"
14,1,56,2,270000,0,"Hombre"
4,2,2,0,NA,NA,"Mujer"
11,1,50,1,220000,0,"Hombre"
13,2,54,6,431667,0,"Mujer"
14,1,57,0,NA,0,"Hombre"
7,2,28,11,520000,1,"Mujer"
1,1,1,0,NA,NA,"Hombre"
8,1,3,0,NA,NA,"Hombre"
7,2,45,5,NA,0,"Mujer"
11,1,66,4,93000,0,"Hombre"
9,2,79,1,18000,0,"Mujer"
7,2,74,2,NA,0,"Mujer"
3,2,79,99,NA,NA,"Mujer"
8,1,19,4,NA,NA,"Hombre"
13,2,60,3,NA,0,"Mujer"
13,2,51,5,508333,0,"Mujer"
5,2,22,9,600000,NA,"Mujer"
13,1,49,8,660000,0,"Hombre"
5,1,1,0,NA,NA,"Hombre"
6,2,26,5,325000,NA,"Mujer"
2,1,19,5,400000,NA,"Hombre"
14,2,75,2,NA,0,"Mujer"
13,2,41,11,909583,1,"Mujer"
13,1,6,0,NA,NA,"Hombre"
13,2,0,0,NA,NA,"Mujer"
9,2,46,7,321000,0,"Mujer"
13,1,16,3,NA,NA,"Hombre"
9,1,1,0,NA,NA,"Hombre"
5,1,73,1,159000,0,"Hombre"
15,1,49,5,250000,0,"Hombre"
7,2,77,0,NA,0,"Mujer"
4,2,4,0,NA,NA,"Mujer"
5,2,36,5,319708,0,"Mujer"
2,2,50,11,1045000,1,"Mujer"
8,1,47,1,300000,0,"Hombre"
14,2,10,1,NA,NA,"Mujer"
8,1,44,1,NA,0,"Hombre"
10,1,32,6,NA,0,"Hombre"
13,1,19,9,205000,NA,"Hombre"
2,1,63,11,3850000,1,"Hombre"
8,2,8,1,NA,NA,"Mujer"
2,1,6,1,NA,NA,"Hombre"
1,1,52,5,349451,0,"Hombre"
12,2,24,5,NA,NA,"Mujer"
10,2,21,7,NA,NA,"Mujer"
13,1,79,11,2550000,1,"Hombre"
14,1,24,9,NA,NA,"Hombre"
10,1,41,3,276000,0,"Hombre"
8,1,62,3,356667,0,"Hombre"
1,1,4,0,NA,NA,"Hombre"
6,2,7,1,NA,NA,"Mujer"
13,2,14,2,NA,NA,"Mujer"
1,2,3,0,NA,NA,"Mujer"
13,1,54,3,513683,0,"Hombre"
8,1,13,1,NA,NA,"Hombre"
15,1,73,5,220000,0,"Hombre"
5,2,43,5,150000,0,"Mujer"
8,2,2,0,NA,NA,"Mujer"
8,2,80,1,NA,0,"Mujer"
9,2,67,2,586667,0,"Mujer"
13,2,33,11,1600000,1,"Mujer"
7,1,3,0,NA,NA,"Hombre"
6,2,3,0,NA,NA,"Mujer"
13,2,30,6,NA,0,"Mujer"
10,2,9,1,NA,NA,"Mujer"
13,2,85,1,312000,0,"Mujer"
1,2,62,11,NA,1,"Mujer"
9,1,11,1,NA,NA,"Hombre"
13,2,55,5,170000,0,"Mujer"
1,2,53,3,387000,0,"Mujer"
9,1,39,11,775000,1,"Hombre"
13,2,45,5,100000,0,"Mujer"
13,2,15,3,NA,NA,"Mujer"
14,1,3,0,NA,NA,"Hombre"
10,2,32,0,NA,0,"Mujer"
1,1,50,6,1300000,0,"Hombre"
13,1,51,5,402500,0,"Hombre"
6,1,91,0,390000,0,"Hombre"
14,2,12,1,NA,NA,"Mujer"
7,2,13,2,NA,NA,"Mujer"
16,1,63,2,372500,0,"Hombre"
6,1,32,5,250000,0,"Hombre"
16,1,35,5,270000,0,"Hombre"
9,2,73,0,112000,0,"Mujer"
13,2,19,3,319167,NA,"Mujer"
14,1,7,1,NA,NA,"Hombre"
3,2,34,6,NA,0,"Mujer"
13,2,15,3,NA,NA,"Mujer"
13,1,65,8,2297333,0,"Hombre"
1,2,67,2,104640,0,"Mujer"
1,1,76,3,700000,0,"Hombre"
7,1,85,6,446000,0,"Hombre"
8,1,58,1,33333,0,"Hombre"
6,1,14,4,NA,NA,"Hombre"
13,1,61,1,300000,0,"Hombre"
13,1,46,5,350000,0,"Hombre"
6,1,31,2,370000,0,"Hombre"
4,1,36,5,423333,0,"Hombre"
9,1,60,5,500000,0,"Hombre"
4,1,52,1,621667,0,"Hombre"
6,2,5,0,NA,NA,"Mujer"
3,1,8,1,NA,NA,"Hombre"
1,2,83,2,110000,0,"Mujer"
9,1,59,1,52667,0,"Hombre"
4,2,67,2,172000,0,"Mujer"
9,2,64,5,100000,0,"Mujer"
13,1,38,11,NA,1,"Hombre"
5,1,15,3,NA,NA,"Hombre"
7,1,41,6,260000,0,"Hombre"
8,2,47,8,200000,0,"Mujer"
9,2,27,11,505833,1,"Mujer"
14,1,43,8,400000,0,"Hombre"
4,2,46,1,310000,0,"Mujer"
10,1,29,11,550000,1,"Hombre"
13,1,49,2,250000,0,"Hombre"
6,1,31,3,330000,0,"Hombre"
2,2,21,9,715000,NA,"Mujer"
5,1,10,1,NA,NA,"Hombre"
7,1,4,0,200000,NA,"Hombre"
13,2,60,8,100000,0,"Mujer"
6,2,73,1,160000,0,"Mujer"
2,1,55,6,578500,0,"Hombre"
8,2,51,1,279167,0,"Mujer"
14,2,55,2,NA,0,"Mujer"
4,2,78,1,NA,0,"Mujer"
8,1,20,9,50000,NA,"Hombre"
16,2,72,1,NA,0,"Mujer"
13,1,9,1,NA,NA,"Hombre"
8,2,22,9,40000,NA,"Mujer"
6,1,37,5,287100,0,"Hombre"
13,1,2,0,NA,NA,"Hombre"
8,2,59,11,2400000,1,"Mujer"
3,2,13,1,NA,NA,"Mujer"
15,1,17,4,NA,NA,"Hombre"
14,2,4,0,NA,NA,"Mujer"
15,2,40,11,580000,1,"Mujer"
7,2,2,0,NA,NA,"Mujer"
11,1,37,3,NA,0,"Hombre"
6,1,24,3,400000,NA,"Hombre"
5,2,63,5,115000,0,"Mujer"
1,1,68,6,1046667,0,"Hombre"
